Algorithm,Instance,Instance Size,Run,Final Value,Deviation
genetic,data/Benchmarks/ta081,100,8,371943,1.7730933090353882
genetic,data/Benchmarks/ta081,100,9,371945,1.7736405600566951
genetic,data/Benchmarks/ta081,100,10,372779,2.0018442359418054
ils,data/Benchmarks/ta055,50,1,119594,1.193054897448047
ils,data/Benchmarks/ta055,50,2,119585,1.185439653421783
ils,data/Benchmarks/ta055,50,3,119623,1.2175929059771204
ils,data/Benchmarks/ta055,50,4,119371,1.0043660732417248
ils,data/Benchmarks/ta055,50,5,119441,1.0635957490015568
ils,data/Benchmarks/ta055,50,6,119566,1.1693630271441142
ils,data/Benchmarks/ta055,50,7,119511,1.122825424761389
ils,data/Benchmarks/ta055,50,8,119471,1.0889798957557706
ils,data/Benchmarks/ta055,50,9,119640,1.2319772558045081
ils,data/Benchmarks/ta055,50,10,119438,1.0610573343261356
genetic,data/Benchmarks/ta055,50,1,119474,1.091518310431192
genetic,data/Benchmarks/ta055,50,2,118837,0.5525282610167197
genetic,data/Benchmarks/ta055,50,3,119466,1.0847492046300684
genetic,data/Benchmarks/ta055,50,4,119003,0.6929872063900359
genetic,data/Benchmarks/ta055,50,5,119195,0.855445745617004
genetic,data/Benchmarks/ta055,50,6,119079,0.7572937115007107
genetic,data/Benchmarks/ta055,50,7,119853,1.412204697759426
genetic,data/Benchmarks/ta055,50,8,118994,0.6853719623637717
genetic,data/Benchmarks/ta055,50,9,119679,1.264976646584986
genetic,data/Benchmarks/ta055,50,10,119434,1.0576727814255737
genetic,data/Benchmarks/ta107,200,1,1277708,3.2896959937397634
genetic,data/Benchmarks/ta107,200,2,1275097,3.07862320070751
genetic,data/Benchmarks/ta107,200,3,1270491,2.7062749491921676
ils,data/Benchmarks/ta109,200,1,1254630,2.6340136989327005
ils,data/Benchmarks/ta109,200,2,1250054,2.259677642337277
ils,data/Benchmarks/ta109,200,3,1253235,2.5198968285326537
ils,data/Benchmarks/ta107,200,1,1260688,1.9138021073326577
ils,data/Benchmarks/ta107,200,2,1260251,1.8784751021411237
ils,data/Benchmarks/ta107,200,3,1257311,1.6408060054292029
genetic,data/Benchmarks/ta109,200,1,1258054,2.9141113077138914
genetic,data/Benchmarks/ta109,200,2,1264788,3.4649808455446567
genetic,data/Benchmarks/ta109,200,3,1264464,3.4384762820969037
ils,data/Benchmarks/ta089,100,1,381139,1.7936932293155068
ils,data/Benchmarks/ta089,100,2,381499,1.8898411689452839
ils,data/Benchmarks/ta089,100,3,381336,1.8463075185018014
ils,data/Benchmarks/ta089,100,4,381596,1.915747697123307
ils,data/Benchmarks/ta089,100,5,381206,1.8115874291910485
ils,data/Benchmarks/ta089,100,6,382005,2.024982439647137
ils,data/Benchmarks/ta089,100,7,380976,1.7501595788720243
ils,data/Benchmarks/ta089,100,8,382839,2.2477251664561204
ils,data/Benchmarks/ta089,100,9,381822,1.9761072370020005
ils,data/Benchmarks/ta089,100,10,380899,1.7295946028956555
genetic,data/Benchmarks/ta089,100,1,381445,1.8754189780008175
genetic,data/Benchmarks/ta089,100,2,382361,2.1200620688365834
genetic,data/Benchmarks/ta089,100,3,382277,2.0976275495896353
genetic,data/Benchmarks/ta089,100,4,380624,1.656148260122909
genetic,data/Benchmarks/ta089,100,5,384245,2.6232362862324163
genetic,data/Benchmarks/ta089,100,6,381912,2.0001442219094443
genetic,data/Benchmarks/ta089,100,7,379910,1.4654548465238515
genetic,data/Benchmarks/ta089,100,8,381295,1.83535733648841
genetic,data/Benchmarks/ta089,100,9,379708,1.4115051692871432
genetic,data/Benchmarks/ta089,100,10,382399,2.1302110180197262
ils,data/Benchmarks/ta103,200,1,1284560,2.3698978819306644
ils,data/Benchmarks/ta103,200,2,1287293,2.587697697362654
ils,data/Benchmarks/ta103,200,3,1287631,2.6146337886967235
genetic,data/Benchmarks/ta103,200,1,1296240,3.300707191936386
genetic,data/Benchmarks/ta103,200,2,1297628,3.4113204900774767
genetic,data/Benchmarks/ta103,200,3,1296082,3.2881157646263772
ils,data/Benchmarks/ta053,50,1,117667,1.0372749207875733
ils,data/Benchmarks/ta053,50,2,117882,1.2218892485767523
ils,data/Benchmarks/ta053,50,3,117629,1.0046454116899508
ils,data/Benchmarks/ta053,50,4,117729,1.0905125408942202
ils,data/Benchmarks/ta053,50,5,117634,1.0089387681501645
ils,data/Benchmarks/ta053,50,6,117681,1.049296318876171
ils,data/Benchmarks/ta053,50,7,117821,1.169510299762148
ils,data/Benchmarks/ta053,50,8,117376,0.7874015748031495
ils,data/Benchmarks/ta053,50,9,117879,1.2193132347006241
ils,data/Benchmarks/ta053,50,10,117444,0.8457912226620528
genetic,data/Benchmarks/ta053,50,1,117363,0.7762388480065946
genetic,data/Benchmarks/ta053,50,2,117200,0.6362754274036356
genetic,data/Benchmarks/ta053,50,3,117294,0.7169905288556487
genetic,data/Benchmarks/ta053,50,4,117357,0.7710868202543384
genetic,data/Benchmarks/ta053,50,5,117077,0.5306588584823844
genetic,data/Benchmarks/ta053,50,6,117203,0.6388514412797637
genetic,data/Benchmarks/ta053,50,7,118262,1.5481843395529757
genetic,data/Benchmarks/ta053,50,8,117476,0.873268704007419
genetic,data/Benchmarks/ta053,50,9,117438,0.8406391949097967
genetic,data/Benchmarks/ta053,50,10,117514,0.9058982131050412
ils,data/Benchmarks/ta051,50,1,127397,1.2445263885687947
ils,data/Benchmarks/ta051,50,2,127088,0.9989589210925764
ils,data/Benchmarks/ta051,50,3,127414,1.2580365728636027
ils,data/Benchmarks/ta051,50,4,127084,0.9957800541996806
ils,data/Benchmarks/ta051,50,5,126995,0.9250502658327439
ils,data/Benchmarks/ta051,50,6,127262,1.1372396309335537
ils,data/Benchmarks/ta051,50,7,126674,0.6699461976778377
ils,data/Benchmarks/ta051,50,8,126997,0.926639699279192
ils,data/Benchmarks/ta051,50,9,127198,1.0863777606472174
ils,data/Benchmarks/ta051,50,10,126926,0.8702148119302875
genetic,data/Benchmarks/ta051,50,1,126824,0.7891537061614388
genetic,data/Benchmarks/ta051,50,2,127292,1.161081132630274
genetic,data/Benchmarks/ta051,50,3,126947,0.8869038631179916
genetic,data/Benchmarks/ta051,50,4,126405,0.4561673991305799
genetic,data/Benchmarks/ta051,50,5,126608,0.6174948939450533
genetic,data/Benchmarks/ta051,50,6,126799,0.7692857880808386
genetic,data/Benchmarks/ta051,50,7,127144,1.043463057593121
genetic,data/Benchmarks/ta051,50,8,127470,1.3025407093641472
genetic,data/Benchmarks/ta051,50,9,126718,0.704913733499694
genetic,data/Benchmarks/ta051,50,10,126556,0.5761696243374049
genetic,data/Benchmarks/ta105,200,1,1262815,3.9002444440604864
genetic,data/Benchmarks/ta105,200,2,1256484,3.3793506887793514
genetic,data/Benchmarks/ta105,200,3,1254933,3.251739535021487
ils,data/Benchmarks/ta105,200,1,1245892,2.5078759366173253
ils,data/Benchmarks/ta105,200,2,1246133,2.527704620083248
ils,data/Benchmarks/ta105,200,3,1244163,2.365619531170937
ils,data/Benchmarks/ta087,100,1,381512,2.1702802296683523
ils,data/Benchmarks/ta087,100,2,381780,2.2420515896820636
ils,data/Benchmarks/ta087,100,3,381274,2.106542977118862
ils,data/Benchmarks/ta087,100,4,381897,2.273384608792527
ils,data/Benchmarks/ta087,100,5,380285,1.8416852343816952
ils,data/Benchmarks/ta087,100,6,380504,1.9003342188705117
ils,data/Benchmarks/ta087,100,7,380048,1.7782157854143457
ils,data/Benchmarks/ta087,100,8,381373,2.133055531750793
ils,data/Benchmarks/ta087,100,9,381097,2.0591417430799552
ils,data/Benchmarks/ta087,100,10,380649,1.939165738280915
genetic,data/Benchmarks/ta087,100,1,380398,1.8719470391635957
