Algorithm,Instance,Instance Size,Run,Final Value,Deviation
ils,data/Benchmarks/ta055,50,7,119256,0.9070601773505721
ils,data/Benchmarks/ta055,50,8,119457,1.0771339606038042
ils,data/Benchmarks/ta055,50,9,119557,1.1617477831178502
ils,data/Benchmarks/ta055,50,10,119803,1.3698977865024031
ils,data/Benchmarks/ta081,100,1,372473,1.918114829681801
ils,data/Benchmarks/ta081,100,2,372736,1.9900783389837002
ils,data/Benchmarks/ta081,100,3,372709,1.9826904501960527
ils,data/Benchmarks/ta081,100,4,371931,1.7698098029075446
ils,data/Benchmarks/ta081,100,5,372416,1.902518175574545
ils,data/Benchmarks/ta081,100,6,372076,1.8094855019523182
ils,data/Benchmarks/ta081,100,7,372233,1.8524447071249346
ils,data/Benchmarks/ta081,100,8,372059,1.8048338682712068
ils,data/Benchmarks/ta081,100,9,372471,1.9175675786604938
ils,data/Benchmarks/ta081,100,10,372360,1.887195146977943
genetic,data/Benchmarks/ta055,50,1,119293,0.9383672916807689
genetic,data/Benchmarks/ta055,50,2,119531,1.1397481892641983
genetic,data/Benchmarks/ta055,50,3,119635,1.227746564678806
genetic,data/Benchmarks/ta055,50,4,119515,1.126209977661951
genetic,data/Benchmarks/ta055,50,5,119709,1.2903607933391998
genetic,data/Benchmarks/ta055,50,6,119061,0.7420632234481825
genetic,data/Benchmarks/ta055,50,7,119390,1.0204426995193936
genetic,data/Benchmarks/ta055,50,8,119520,1.1304406687876531
genetic,data/Benchmarks/ta055,50,9,119898,1.4502809178907468
genetic,data/Benchmarks/ta055,50,10,119281,0.9282136329790835
genetic,data/Benchmarks/ta081,100,1,373380,2.1662931678446244
genetic,data/Benchmarks/ta081,100,2,371382,1.6195893975587132
genetic,data/Benchmarks/ta081,100,3,372237,1.853539209167549
genetic,data/Benchmarks/ta081,100,4,372206,1.8450568183372873
genetic,data/Benchmarks/ta081,100,5,370953,1.5022040534883148
genetic,data/Benchmarks/ta081,100,6,372445,1.9104533153834997
genetic,data/Benchmarks/ta081,100,7,370918,1.4926271606154384
genetic,data/Benchmarks/ta081,100,8,373297,2.143582250460375
genetic,data/Benchmarks/ta081,100,9,372802,2.008137622686838
genetic,data/Benchmarks/ta081,100,10,371710,1.7093385650530972
ils,data/Benchmarks/ta053,50,1,117788,1.1411741471247392
ils,data/Benchmarks/ta053,50,2,117986,1.3111910629491925
ils,data/Benchmarks/ta053,50,3,117933,1.2656814844709297
ils,data/Benchmarks/ta053,50,4,117743,1.1025339389828182
ils,data/Benchmarks/ta053,50,5,117461,0.8603886346267785
ils,data/Benchmarks/ta053,50,6,117873,1.214161206948368
ils,data/Benchmarks/ta053,50,7,117798,1.149760860045166
ils,data/Benchmarks/ta053,50,8,117940,1.2716921835152284
ils,data/Benchmarks/ta053,50,9,117838,1.184107711726874
ils,data/Benchmarks/ta053,50,10,117738,1.0982405825226045
ils,data/Benchmarks/ta051,50,1,127020,0.944918183913344
ils,data/Benchmarks/ta051,50,2,126861,0.8185582249207269
ils,data/Benchmarks/ta051,50,3,127293,1.161875849353498
ils,data/Benchmarks/ta051,50,4,127122,1.0259792896821929
ils,data/Benchmarks/ta051,50,5,127126,1.029158156575089
ils,data/Benchmarks/ta051,50,6,127290,1.159491699183826
ils,data/Benchmarks/ta051,50,7,127223,1.1062456787278174
ils,data/Benchmarks/ta051,50,8,127418,1.2612154397564987
ils,data/Benchmarks/ta051,50,9,127149,1.0474366412092408
ils,data/Benchmarks/ta051,50,10,126833,0.7963061566704548
genetic,data/Benchmarks/ta053,50,1,117939,1.2708335122231857
genetic,data/Benchmarks/ta053,50,2,117832,1.1789556839746176
genetic,data/Benchmarks/ta053,50,3,117489,0.8844314308039738
genetic,data/Benchmarks/ta053,50,4,117844,1.18925973947913
genetic,data/Benchmarks/ta053,50,5,117538,0.9265063241140659
genetic,data/Benchmarks/ta053,50,6,117658,1.029546879159189
genetic,data/Benchmarks/ta053,50,7,117588,0.9694398887162006
genetic,data/Benchmarks/ta053,50,8,118112,1.4193836457465718
genetic,data/Benchmarks/ta053,50,9,117863,1.2055744940279411
genetic,data/Benchmarks/ta053,50,10,117316,0.735881297280588
genetic,data/Benchmarks/ta051,50,1,127073,0.9870381702442165
genetic,data/Benchmarks/ta051,50,2,126987,0.9186925320469519
genetic,data/Benchmarks/ta051,50,3,127369,1.2222743203185225
genetic,data/Benchmarks/ta051,50,4,126312,0.38225874387074726
genetic,data/Benchmarks/ta051,50,5,127019,0.9441234671901201
genetic,data/Benchmarks/ta051,50,6,127313,1.1777701838179782
genetic,data/Benchmarks/ta051,50,7,126703,0.6929929826513339
genetic,data/Benchmarks/ta051,50,8,127372,1.2246584704881944
genetic,data/Benchmarks/ta051,50,9,127113,1.0188268391731767
genetic,data/Benchmarks/ta051,50,10,127312,1.176975467094754
ils,data/Benchmarks/ta089,100,1,380997,1.7557682086837616
ils,data/Benchmarks/ta089,100,2,380740,1.687129262892504
ils,data/Benchmarks/ta089,100,3,380771,1.6954086688050678
ils,data/Benchmarks/ta089,100,4,381474,1.8831642286932162
ils,data/Benchmarks/ta089,100,5,380669,1.6681667525766313
ils,data/Benchmarks/ta089,100,6,380809,1.7055576179882113
ils,data/Benchmarks/ta089,100,7,380700,1.6764461584891952
ils,data/Benchmarks/ta089,100,8,381347,1.8492453722127113
ils,data/Benchmarks/ta089,100,9,381714,1.9472628551130675
ils,data/Benchmarks/ta089,100,10,381069,1.7749977966097168
genetic,data/Benchmarks/ta089,100,1,380005,1.4908272194817092
genetic,data/Benchmarks/ta089,100,2,380877,1.7237188954738358
genetic,data/Benchmarks/ta089,100,3,381464,1.8804934525923886
genetic,data/Benchmarks/ta089,100,4,380070,1.5081872641370855
genetic,data/Benchmarks/ta089,100,5,379131,1.257401388269417
genetic,data/Benchmarks/ta089,100,6,380269,1.5613357085435458
genetic,data/Benchmarks/ta089,100,7,380062,1.506050643256424
genetic,data/Benchmarks/ta089,100,8,380915,1.7338678446569789
genetic,data/Benchmarks/ta089,100,9,381395,1.8620650974966815
genetic,data/Benchmarks/ta089,100,10,381000,1.7565694415140096
ils,data/Benchmarks/ta109,200,1,1244795,1.8294693115603253
ils,data/Benchmarks/ta109,200,2,1249353,2.2023328924086516
ils,data/Benchmarks/ta109,200,3,1246650,1.9812161177195278
ils,data/Benchmarks/ta107,200,1,1259323,1.8034557410021228
ils,data/Benchmarks/ta107,200,2,1258523,1.7387838779512599
ils,data/Benchmarks/ta107,200,3,1258460,1.7336909687360045
ils,data/Benchmarks/ta059,50,1,122828,0.7844295654457135
ils,data/Benchmarks/ta059,50,2,123188,1.0798214520152292
ils,data/Benchmarks/ta059,50,3,123157,1.0543849284495208
ils,data/Benchmarks/ta059,50,4,123216,1.1027963765261914
ils,data/Benchmarks/ta059,50,5,123082,0.9928449520808718
ils,data/Benchmarks/ta059,50,6,123113,1.01828147564658
ils,data/Benchmarks/ta059,50,7,123024,0.9452540370224497
ils,data/Benchmarks/ta059,50,8,123177,1.070795588814494
ils,data/Benchmarks/ta059,50,9,123300,1.1717211500590785
ils,data/Benchmarks/ta059,50,10,123419,1.2693645792306683
genetic,data/Benchmarks/ta109,200,1,1255249,2.684650503791216
genetic,data/Benchmarks/ta109,200,2,1264764,3.4630175445485265
genetic,data/Benchmarks/ta109,200,3,1264211,3.417779817429368
genetic,data/Benchmarks/ta107,200,1,1273095,2.916781863422726
genetic,data/Benchmarks/ta107,200,2,1276691,3.2074818878363547
genetic,data/Benchmarks/ta107,200,3,1274911,3.063586992548185
genetic,data/Benchmarks/ta059,50,1,122745,0.7163253249310753
genetic,data/Benchmarks/ta059,50,2,123113,1.01828147564658
genetic,data/Benchmarks/ta059,50,3,122949,0.8837140606538008
genetic,data/Benchmarks/ta059,50,4,123304,1.175003282132073
genetic,data/Benchmarks/ta059,50,5,123169,1.0642313246685047
genetic,data/Benchmarks/ta059,50,6,122962,0.8943809898910332
genetic,data/Benchmarks/ta059,50,7,123480,1.319417093343836
genetic,data/Benchmarks/ta059,50,8,123000,0.9255612445844821
genetic,data/Benchmarks/ta059,50,9,122734,0.70729946173034
genetic,data/Benchmarks/ta059,50,10,122470,0.49067874491269525
ils,data/Benchmarks/ta105,200,1,1242844,2.2570965706250807
ils,data/Benchmarks/ta105,200,2,1242807,2.254052332914545
ils,data/Benchmarks/ta105,200,3,1244399,2.385036831162463
